string,string,string,string
boxno,sn,carno,creattime
LFB7201709210001,1PQ1728000145,32002347,2017/9/21 13:21
LFB7201709210001,1PQ1728000175,32000425,2017/9/21 13:21
LFB7201709210001,1PQ1728000185,32002340,2017/9/21 13:21
LFB7201709210001,1PQ1728000231,32002359,2017/9/21 13:21
LFB7201709210001,1PQ1728000257,32002335,2017/9/21 13:21
LFB7201709210001,1PQ1728000318,32000428,2017/9/21 13:21
LFB7201709210001,1PQ1728000373,32002338,2017/9/21 13:21
LFB7201709210001,1PQ1733000653,32001989,2017/9/21 13:21
LFB7201709210001,1PQ1733000667,32000431,2017/9/21 13:21
LFB7201709210001,1PQ1733001022,32002350,2017/9/21 13:21
LFB7201709210001,1PQ1733001736,32001990,2017/9/21 13:21
LFB7201709210001,1PQ1733001796,32002033,2017/9/21 13:21
LFB7201709210001,1PQ1733001852,32000377,2017/9/21 13:21
LFB7201709210001,1PQ1733001862,32002006,2017/9/21 13:21
LFB7201709210001,1PQ1733001865,32001939,2017/9/21 13:21
LFB7201709210001,1PQ1733001870,32001992,2017/9/21 13:21
LFB7201709210001,1PQ1733001909,32002303,2017/9/21 13:21
LFB7201709210001,1PQ1733002007,32002345,2017/9/21 13:21
LFB7201709210003,1PQ1733001927,32001987,2017/9/21 13:32
LFB7201709210003,1PQ1733002010,32002001,2017/9/21 13:32
LFB7201709210003,1PQ1728000041,32001976,2017/9/21 13:32
LFB7201709210003,1PQ1728000071,32002322,2017/9/21 13:32
LFB7201709210003,1PQ1728000225,32001967,2017/9/21 13:32
LFB7201709210003,1PQ1728000281,32002298,2017/9/21 13:32
LFB7201709210003,1PQ1733000631,32000391,2017/9/21 13:32
LFB7201709210003,1PQ1733000672,32002014,2017/9/21 13:32
LFB7201709210003,1PQ1733000718,32000423,2017/9/21 13:32
LFB7201709210003,1PQ1733000783,32000393,2017/9/21 13:32
LFB7201709210003,1PQ1733000789,32001966,2017/9/21 13:32
LFB7201709210003,1PQ1733000836,32002311,2017/9/21 13:32
LFB7201709210003,1PQ1733000965,32002035,2017/9/21 13:32
LFB7201709210003,1PQ1733000970,32002018,2017/9/21 13:32
LFB7201709210003,1PQ1733001028,32002024,2017/9/21 13:32
LFB7201709210003,1PQ1733001069,32001970,2017/9/21 13:32
LFB7201709210003,1PQ1733001746,32001988,2017/9/21 13:32
LFB7201709210003,1PQ1733001749,32001973,2017/9/21 13:32
LFB7201709210004,1PQ1728000260,32001962,2017/9/21 13:34
LFB7201709210004,1PQ1728000356,32002358,2017/9/21 13:34
LFB7201709210004,1PQ1728000462,32002363,2017/9/21 13:34
LFB7201709210004,1PQ1733000630,32001986,2017/9/21 13:34
LFB7201709210004,1PQ1733000643,32001996,2017/9/21 13:34
LFB7201709210004,1PQ1733000714,32000378,2017/9/21 13:34
LFB7201709210004,1PQ1733000733,32001957,2017/9/21 13:34
LFB7201709210004,1PQ1733000740,32001998,2017/9/21 13:34
LFB7201709210004,1PQ1733000898,32002343,2017/9/21 13:34
LFB7201709210004,1PQ1733001065,32002037,2017/9/21 13:34
LFB7201709210004,1PQ1733001730,32001979,2017/9/21 13:34
LFB7201709210004,1PQ1733001747,32002022,2017/9/21 13:34
LFB7201709210004,1PQ1733001795,32002302,2017/9/21 13:34
LFB7201709210004,1PQ1733001902,32001972,2017/9/21 13:34
LFB7201709210004,1PQ1733001905,32000434,2017/9/21 13:34
LFB7201709210004,1PQ1733001961,32002330,2017/9/21 13:34
LFB7201709210004,1PQ1733001998,32002020,2017/9/21 13:34
LFB7201709210004,1PQ1733002028,32001945,2017/9/21 13:34
LFB7201709210005,1PQ1733001877,32002342,2017/9/21 13:40
LFB7201709210005,1PQ1733001908,32002296,2017/9/21 13:40
LFB7201709210005,1PQ1733002119,32000365,2017/9/21 13:40
LFB7201709210005,1PQ1733000648,32002032,2017/9/21 13:40
LFB7201709210005,1PQ1733000703,32000363,2017/9/21 13:40
LFB7201709210005,1PQ1733000779,32002326,2017/9/21 13:40
LFB7201709210005,1PQ1733000784,32000372,2017/9/21 13:40
LFB7201709210005,1PQ1733000972,32001963,2017/9/21 13:40
LFB7201709210005,1PQ1733001064,32002016,2017/9/21 13:40
LFB7201709210005,1PQ1733001071,32002036,2017/9/21 13:40
LFB7201709210005,1PQ1733001103,32002007,2017/9/21 13:40
LFB7201709210005,1PQ1733001298,32002038,2017/9/21 13:40
LFB7201709210005,1PQ1733001741,32000385,2017/9/21 13:40
LFB7201709210005,1PQ1733001750,32002307,2017/9/21 13:40
LFB7201709210005,1PQ1733001810,32000373,2017/9/21 13:40
LFB7201709210005,1PQ1733001811,32000441,2017/9/21 13:40
LFB7201709210005,1PQ1733001831,32000375,2017/9/21 13:40
LFB7201709210005,1PQ1733001837,32000444,2017/9/21 13:40
LFB7201709210006,1PQ1728000184,32002353,2017/9/21 13:49
LFB7201709210006,1PQ1728000195,32002361,2017/9/21 13:49
LFB7201709210006,1PQ1728000236,32000440,2017/9/21 13:49
LFB7201709210006,1PQ1728000259,32002337,2017/9/21 13:49
LFB7201709210006,1PQ1728000303,32000379,2017/9/21 13:49
